,Inflow rate,Stenosis amplitude,Stenosis width
81,0.700000,0.242857,0.185714
82,0.700000,0.242857,0.200000
83,0.700000,0.242857,0.214286
84,0.700000,0.242857,0.228571
85,0.700000,0.242857,0.243057
86,0.700000,0.242857,0.257143
87,0.700000,0.242857,0.271629
88,0.700000,0.242857,0.285714
89,0.700000,0.242857,0.300000
90,0.700000,0.271429,0.100000
91,0.700000,0.271429,0.114286
92,0.700000,0.271429,0.128571
93,0.700000,0.271429,0.142857
94,0.700000,0.271429,0.157143
95,0.700000,0.271429,0.171629
96,0.700000,0.271429,0.185714
97,0.700000,0.271429,0.200000
98,0.700000,0.271429,0.214286
99,0.700000,0.271429,0.228571
100,0.700000,0.271429,0.243057
101,0.700000,0.271429,0.257143
102,0.700000,0.271429,0.271629
103,0.700000,0.271429,0.285714
104,0.700000,0.271429,0.300000
105,0.700000,0.300000,0.100000
106,0.700000,0.300000,0.114286
107,0.700000,0.300000,0.128571
108,0.700000,0.300000,0.142857
109,0.700000,0.300000,0.157143
110,0.700000,0.300000,0.171629
111,0.700000,0.300000,0.185714
112,0.700000,0.300000,0.200000
113,0.700000,0.300000,0.214286
114,0.700000,0.300000,0.228571
115,0.700000,0.300000,0.243057
116,0.700000,0.300000,0.257143
117,0.700000,0.300000,0.271629
118,0.700000,0.300000,0.285714
119,0.700000,0.300000,0.300000
120,0.700000,0.328571,0.100000
121,0.700000,0.328571,0.114286
122,0.700000,0.328571,0.128571
123,0.700000,0.328571,0.142857
124,0.700000,0.328571,0.157143
125,0.700000,0.328571,0.171629
126,0.700000,0.328571,0.185714
127,0.700000,0.328571,0.200000
128,0.700000,0.328571,0.214286
129,0.700000,0.328571,0.228571
130,0.700000,0.328571,0.243057
131,0.700000,0.328571,0.257143
132,0.700000,0.328571,0.271629
133,0.700000,0.328571,0.285714
134,0.700000,0.328571,0.300000
135,0.700000,0.357143,0.100000
136,0.700000,0.357143,0.114286
137,0.700000,0.357143,0.128571
138,0.700000,0.357143,0.142857
139,0.700000,0.357143,0.157143
140,0.700000,0.357143,0.171629
141,0.700000,0.357143,0.185714
142,0.700000,0.357143,0.200000
143,0.700000,0.357143,0.214286
144,0.700000,0.357143,0.228571
145,0.700000,0.357143,0.243057
146,0.700000,0.357143,0.257143
147,0.700000,0.357143,0.271629
148,0.700000,0.357143,0.285714
149,0.700000,0.357143,0.300000
150,0.700000,0.385714,0.100000
151,0.700000,0.385714,0.114286
152,0.700000,0.385714,0.128571
153,0.700000,0.385714,0.142857
154,0.700000,0.385714,0.157143
155,0.700000,0.385714,0.171629
156,0.700000,0.385714,0.185714
157,0.700000,0.385714,0.200000
158,0.700000,0.385714,0.214286
159,0.700000,0.385714,0.228571
160,0.700000,0.385714,0.243057
161,0.700000,0.385714,0.257143
162,0.700000,0.385714,0.271629
163,0.700000,0.385714,0.285714
164,0.700000,0.385714,0.300000
165,0.700000,0.414286,0.100000
166,0.700000,0.414286,0.114286
167,0.700000,0.414286,0.128571
168,0.700000,0.414286,0.142857
169,0.700000,0.414286,0.157143
170,0.700000,0.414286,0.171629
171,0.700000,0.414286,0.185714
172,0.700000,0.414286,0.200000
173,0.700000,0.414286,0.214286
174,0.700000,0.414286,0.228571
175,0.700000,0.414286,0.243057
176,0.700000,0.414286,0.257143
177,0.700000,0.414286,0.271629
178,0.700000,0.414286,0.285714
179,0.700000,0.414286,0.300000
180,0.700000,0.442857,0.100000
181,0.700000,0.442857,0.114286
182,0.700000,0.442857,0.128571
183,0.700000,0.442857,0.142857
184,0.700000,0.442857,0.157143
185,0.700000,0.442857,0.171629
186,0.700000,0.442857,0.185714
187,0.700000,0.442857,0.200000
188,0.700000,0.442857,0.214286
189,0.700000,0.442857,0.228571
190,0.700000,0.442857,0.243057
191,0.700000,0.442857,0.257143
192,0.700000,0.442857,0.271629
193,0.700000,0.442857,0.285714
194,0.700000,0.442857,0.300000
195,0.700000,0.471429,0.100000
196,0.700000,0.471429,0.114286
197,0.700000,0.471429,0.128571
198,0.700000,0.471429,0.142857
199,0.700000,0.471429,0.157143
200,0.700000,0.471429,0.171629
201,0.700000,0.471429,0.185714
202,0.700000,0.471429,0.200000
203,0.700000,0.471429,0.214286
204,0.700000,0.471429,0.228571
205,0.700000,0.471429,0.243057
206,0.700000,0.471429,0.257143
207,0.700000,0.471429,0.271629
208,0.700000,0.471429,0.285714
209,0.700000,0.471429,0.300000
210,0.700000,0.500000,0.100000
211,0.700000,0.500000,0.114286
212,0.700000,0.500000,0.128571
213,0.700000,0.500000,0.142857
214,0.700000,0.500000,0.157143
215,0.700000,0.500000,0.171629
216,0.700000,0.500000,0.185714
217,0.700000,0.500000,0.200000
218,0.700000,0.500000,0.214286
219,0.700000,0.500000,0.228571
220,0.700000,0.500000,0.243057
221,0.700000,0.500000,0.257143
222,0.700000,0.500000,0.271629
223,0.700000,0.500000,0.285714
224,0.700000,0.500000,0.300000
225,0.800000,0.100000,0.100000
226,0.800000,0.100000,0.114286
227,0.800000,0.100000,0.128571
228,0.800000,0.100000,0.142857
229,0.800000,0.100000,0.157143
230,0.800000,0.100000,0.171629
231,0.800000,0.100000,0.185714
232,0.800000,0.100000,0.200000
233,0.800000,0.100000,0.214286
